hermandad,titular,anio,banda_raw,fuentes
San Pablo,Paso de Cristo,2016,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2017,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2018,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2019,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2020,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2021,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2022,CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2023,CyT Cristo de las Tres Caídas (ida)/CyT Salud de Córdoba (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2024,CyT Cristo de las Tres Caídas (ida)/CyT Salud de Córdoba (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2025,AM Sta María Magdalena Arahal (ida)/AM Virgen de los Reyes (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Cristo,2026,AM Sta María Magdalena Arahal (ida)/AM Virgen de los Reyes (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2008,B. Maestro Enrique Montero de Chiclana (ida)/B. Ntra Sra de la Victoria de Las Cigarreras (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2020,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2021,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2022,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2023,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2024,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2025,BM Ntra Sra de las Nieves de Olivares (ida) y BM Municipal Puebla del Rio (vuelta),foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2026,BM Ntra Sra de las Nieves de Olivares (ida) y BM Municipal Puebla del Rio (vuelta),foro-2026-costalero_prado-carrera
Santa Genoveva,Paso Cristo (Cautivo),2007,CCTT Jesús Cautivo y Santiago Apóstol (Sanlúcar/Aznalcázar),foro-2026-costalero_prado-carrera
Santa Genoveva,Paso Cristo (Cautivo),2008,CCTT Jesús Cautivo y Santiago Apóstol (Sanlúcar/Aznalcázar),foro-2026-costalero_prado-carrera
Santa Genoveva,Paso Cristo (Cautivo),2009,CCTT Jesús Cautivo y Santiago Apóstol (Sanlúcar/Aznalcázar),foro-2026-costalero_prado-carrera
Santa Genoveva,Paso Cristo (Cautivo),2010,CCTT Jesús Cautivo y Santiago Apóstol (Sanlúcar/Aznalcázar),foro-2026-costalero_prado-carrera
