banda_raw,n_filas_afectadas,motivo,ids_banda_candidatos,ejemplos
CyT Rosario de Cádiz,11,ambiguo_5_bandas_por_contencion,"107,131,145,167,24",La Estrella / Paso de Cristo / 2024 ; La Estrella / Paso de Cristo / 2025 ; La Estrella / Paso de Cristo / 2026
AM Redención,11,ambiguo_3_bandas_nombre_identico,"11,163,2",San Esteban / Paso Cristo (Misterio) / 2010 ; San Esteban / Paso Cristo (Misterio) / 2011 ; San Esteban / Paso Cristo (Misterio) / 2012
CCTT San Juan Evangelista,10,ambiguo_2_bandas_nombre_identico,"260,36",La Sed / Paso de Cristo / 2009 ; La Sed / Paso de Cristo / 2010 ; La Sed / Paso de Cristo / 2011
B. Cruz Roja,10,ambiguo_2_bandas_nombre_identico,"14,169",La Milagrosa / Paso de Palio / 2016 ; La Milagrosa / Paso de Palio / 2017 ; La Milagrosa / Paso de Palio / 2018
AM Sentencia de Jerez,9,ambiguo_2_bandas_por_contencion,"194,28","Dolores de Torreblanca / Paso de Misterio / 2019 ; Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 2019 ; Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 2020"
CCTT Ntro. Padre Jesus de los Remedios de Castilleja de la Cuesta,9,ambiguo_3_bandas_por_contencion,"102,123,282",La Sed / Paso de Cristo / 1984 ; La Sed / Paso de Cristo / 1985 ; La Sed / Paso de Cristo / 1986
BM Nuestra Senora de la Victoria de Las Cigarreras,9,ambiguo_4_bandas_por_contencion,"1,100,16,269",La Lanzada / Paso de Palio / 2011 ; La Lanzada / Paso de Palio / 2012 ; La Lanzada / Paso de Palio / 2013
B. Ntra Sra Angustias Sanlúcar la Mayor,9,ambiguo_6_bandas_por_contencion,"157,182,34,62,92,96",Padre Pio / Paso de Palio / 2017 ; Padre Pio / Paso de Palio / 2018 ; Padre Pio / Paso de Palio / 2020
A. M. Jesús Despojado,9,ambiguo_2_bandas_nombre_identico,"37,89",Jesus Despojado / Paso de Cristo / 1983 ; Jesus Despojado / Paso de Cristo / 1984 ; Jesus Despojado / Paso de Cristo / 1985
AM Virgen de las Angustias,8,ambiguo_2_bandas_nombre_identico,"62,92",La Borriquita / Paso de Misterio / 1980 ; Los Gitanos / Paso del Senor / 1980 ; Los Gitanos / Paso del Senor / 1981
CCTT Centuria Romana,8,ambiguo_3_bandas_por_contencion,"251,279,5",Montserrat / Paso de Misterio / 1980 ; Montserrat / Paso de Misterio / 1981 ; Montserrat / Paso de Misterio / 1982
BM Ntra Sra del Carmen de Salteras,8,ambiguo_4_bandas_por_contencion,"101,171,214,263",La Amargura / Paso de Virgen / 2019 ; La Amargura / Paso de Virgen / 2020 ; La Amargura / Paso de Virgen / 2021
CCTT Nazareno de Huelva,8,ambiguo_6_bandas_por_contencion,"138,141,150,175,190,247",El Cerro del Aguila / Paso Cristo (Nazareno) / 2019 ; El Cerro del Aguila / Paso Cristo (Nazareno) / 2020 ; El Cerro del Aguila / Paso Cristo (Nazareno) / 2021
AM Ntra. Sra. De la Paz,7,ambiguo_2_bandas_nombre_identico,"228,60",La Paz / Paso de Misterio / 1992 ; La Paz / Paso de Misterio / 1993 ; La Paz / Paso de Misterio / 1994
AM Jesús Nazareno de La Algaba,7,ambiguo_13_bandas_por_contencion,"104,138,141,150,172,175,19,190,192,247,278,55,95",San Jeronimo / Paso de Cristo / 2020 ; San Jeronimo / Paso de Cristo / 2021 ; San Jeronimo / Paso de Cristo / 2022
A. M. Sagrada Lanzada,7,ambiguo_2_bandas_nombre_identico,"121,83",La Borriquita / Paso de Cristo / 1982 ; La Borriquita / Paso de Cristo / 1983 ; La Borriquita / Paso de Cristo / 1984
B. Municipal de Sevilla,7,ambiguo_6_bandas_por_contencion,"273,274,276,277,278,279",La Amargura / Paso de Virgen / 1980 ; La Amargura / Paso de Virgen / 1981 ; La Amargura / Paso de Virgen / 1995
CCTT Ntra. Sra. de la Salud de Utrera,6,ambiguo_5_bandas_por_contencion,"129,177,209,26,56",La Sed / Paso de Cristo / 1997 ; La Sed / Paso de Cristo / 1998 ; La Sed / Paso de Cristo / 1999
BM Nuestra Senora de la Soledad de Cantillana,6,ambiguo_2_bandas_por_contencion,"176,84",La Sed / Paso de Palio / 1980 ; La Sed / Paso de Palio / 1981 ; San Bernardo / Paso de Palio / 1990
AM Santa Marta de la Algaba,6,ambiguo_2_bandas_por_contencion,"115,73",Las Siete Palabras / Paso de Misterio / 1983 ; Las Siete Palabras / Paso de Misterio / 1984 ; Las Siete Palabras / Paso de Misterio / 1985
Banda de CC y TT Jesús Nazareno de Mairena del Alcor,6,ambiguo_13_bandas_por_contencion,"104,138,141,150,172,175,19,190,192,247,278,55,95","Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 1998 ; Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 1999 ; Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 2000"
CCTT Stmo. Cristo de la Sangre,5,ambiguo_2_bandas_nombre_identico,"184,32",San Jeronimo / Paso de Misterio / 2015 ; San Jeronimo / Paso de Misterio / 2016 ; San Jeronimo / Paso de Misterio / 2017
CCTT Ntro. Padre Jesus de los Remedios (Castilleja),5,ambiguo_3_bandas_por_contencion,"102,123,282",La Estrella / Paso de Misterio / 1986 ; La Estrella / Paso de Misterio / 1987 ; La Estrella / Paso de Misterio / 1988
CCTT Stmo. Cristo de la Sangre.,5,ambiguo_2_bandas_nombre_identico,"184,32",San Jeronimo / Paso de Cristo / 2015 ; San Jeronimo / Paso de Cristo / 2016 ; San Jeronimo / Paso de Cristo / 2017
A. M. Ntra. Sra. de los Reyes,5,ambiguo_2_bandas_por_contencion,"276,6",Jesus Despojado / Paso de Cristo / 2005 ; Jesus Despojado / Paso de Cristo / 2006 ; Jesus Despojado / Paso de Cristo / 2007
B. Ntro. Padre Jesús de los Remedios de Castilleja de la Cuesta,5,ambiguo_3_bandas_por_contencion,"102,123,282",La Estrella / Paso de Cristo / 1986 ; La Estrella / Paso de Cristo / 1987 ; La Estrella / Paso de Cristo / 1988
CCTT Ntro. Padre Jesus Cautivo,4,ambiguo_7_bandas_por_contencion,"117,185,199,232,240,268,38",Dulce Nombre de Bellavista / Paso de Misterio / 2002 ; Dulce Nombre de Bellavista / Paso de Misterio / 2003 ; Dulce Nombre de Bellavista / Paso de Misterio / 2004
CyT Ntro. Padre Jesús de la Humildad,4,ambiguo_2_bandas_por_contencion,"168,82",Padre Pio / Paso de Cristo / 2010 ; Padre Pio / Paso de Cristo / 2011 ; Padre Pio / Paso de Cristo / 2012
CCTT Jesus Nazareno (Mairena del Alcor),4,ambiguo_8_bandas_nombre_identico,"104,141,172,19,192,278,55,95",Dolores de Torreblanca / Paso de Misterio / 1999 ; Dolores de Torreblanca / Paso de Misterio / 2000 ; Dolores de Torreblanca / Paso de Misterio / 2001
CCTT Cruz Roja,4,ambiguo_2_bandas_nombre_identico,"14,169",Jesus Despojado / Paso de Misterio / 1980 ; La Candelaria / Paso de Cristo / 1980 ; El Buen Fin / Paso de Cristo / 1983
BM Nuestra Señora de la Soledad de la Algaba,4,ambiguo_2_bandas_por_contencion,"176,84",San Gonzalo / Paso de Palio / 1985 ; San Gonzalo / Paso de Palio / 1986 ; San Gonzalo / Paso de Palio / 1987
CCTT Rosario de Cadiz,4,ambiguo_5_bandas_por_contencion,"107,131,145,167,24",Las Aguas / Paso de Misterio / 2019 ; La Sed / Paso de Cristo / 2017 ; La Sed / Paso de Cristo / 2018
B. Ntra Sra del Carmen de Salteras,4,ambiguo_4_bandas_por_contencion,"101,171,214,263",Pino Montano / Paso de Palio / 2020 ; Pino Montano / Paso de Palio / 2021 ; Pino Montano / Paso de Palio / 2022
B. Ntro. Padre Jesús Cautivo,4,ambiguo_7_bandas_por_contencion,"117,185,199,232,240,268,38",Dulce Nombre de Bellavista / Paso de Cristo / 2002 ; Dulce Nombre de Bellavista / Paso de Cristo / 2003 ; Dulce Nombre de Bellavista / Paso de Cristo / 2004
AM Ntra Sra de la Encarnación,4,ambiguo_3_bandas_nombre_identico,"15,254,64",Divino Perdon de Alcosa / Paso de Cristo / 2026 ; La Espiga / Paso / 2023 ; La Espiga / Paso / 2024
A. M. Ntro. Padre Jesús de la Salud,3,ambiguo_5_bandas_por_contencion,"129,177,209,26,56",Divino Perdon de Alcosa / Paso de Cristo / 2004 ; Divino Perdon de Alcosa / Paso de Cristo / 2005 ; Divino Perdon de Alcosa / Paso de Cristo / 2006
BM Nuestra Señora de la Soledad de Cantillana,3,ambiguo_2_bandas_por_contencion,"176,84",Los Javieres / Paso de Palio / 1980 ; Los Javieres / Paso de Palio / 1981 ; San Esteban / Paso de Palio / 1984
CCTT Jesus Cautivo (Sanlucar la Mayor),3,ambiguo_8_bandas_por_contencion,"117,13,185,199,232,240,268,38",El Carmen / Paso de Misterio / 2004 ; El Carmen / Paso de Misterio / 2005 ; El Carmen / Paso de Misterio / 2006
CCTT Nuestra Senora de la Salud de Utrera,3,ambiguo_5_bandas_por_contencion,"129,177,209,26,56",La Sed / Paso de Cristo / 2004 ; La Sed / Paso de Cristo / 2005 ; La Sed / Paso de Cristo / 2006
