banda_raw,n_filas_afectadas,motivo,ejemplos
B. Maestro Enrique Galán de Rota,6,sin_match,La Milagrosa / Paso de Palio / 2010 ; La Milagrosa / Paso de Palio / 2011 ; La Milagrosa / Paso de Palio / 2012
AM Santo Domingo El Sabio,5,sin_match,La Estrella / Paso de Misterio / 1980 ; La Estrella / Paso de Misterio / 1981 ; La Estrella / Paso de Misterio / 1982
B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),5,doblete_dos_bandas,San Pablo / Paso de Palio / 2009 ; San Pablo / Paso de Palio / 2010 ; San Pablo / Paso de Palio / 2011
BM Guillena,5,sin_match,El Beso de Judas / Paso de Palio / 1980 ; El Beso de Judas / Paso de Palio / 1981 ; El Beso de Judas / Paso de Palio / 1985
BM Municipal de Puebla del Rio,5,sin_match,La Sed / Paso de Palio / 1998 ; La Sed / Paso de Palio / 1999 ; La Sed / Paso de Palio / 2000
BM Asociacion de Camas,5,sin_match,La Esperanza de Triana / Paso de Palio / 1993 ; La Esperanza de Triana / Paso de Palio / 1994 ; La Esperanza de Triana / Paso de Palio / 1995
BM del Maestro Tejera,5,sin_match,El Cachorro / Paso de Palio / 1981 ; El Cachorro / Paso de Palio / 1982 ; El Cachorro / Paso de Palio / 1983
BM Regimiento Soria 9,5,sin_match,Montserrat / Paso de Palio / 1980 ; Montserrat / Paso de Palio / 1981 ; Montserrat / Paso de Palio / 1982
B. Municipal Puebla del Rio,5,sin_match,Pino Montano / Paso de Palio / 2024 ; Pino Montano / Paso de Palio / 2025 ; Pino Montano / Paso de Palio / 2026
B. Municipal de Coria del Rio,5,sin_match,San Jose Obrero / Paso de Virgen / 2022 ; San Jose Obrero / Paso de Virgen / 2023 ; San Jose Obrero / Paso de Virgen / 2024
B. Santo Domingo Sabio de Alcalá de Gra.,5,sin_match,La Estrella / Paso de Cristo / 1980 ; La Estrella / Paso de Cristo / 1981 ; La Estrella / Paso de Cristo / 1982
BM Nuestra Senora de la Hiniesta,4,sin_match,La Hiniesta / Paso de Palio / 1980 ; La Hiniesta / Paso de Palio / 1981 ; La Hiniesta / Paso de Palio / 1982
CCTT Jesus Cautivo y Santiago Apostol (Sanlucar/Aznalcazar),4,doblete_dos_bandas,Santa Genoveva / Paso del Cautivo / 2007 ; Santa Genoveva / Paso del Cautivo / 2008 ; Santa Genoveva / Paso del Cautivo / 2009
BM Municipal de Guillena,4,sin_match,La Candelaria / Paso de Palio / 1980 ; La Candelaria / Paso de Palio / 1981 ; La Candelaria / Paso de Palio / 1982
BM Agrupación de Guillena,4,sin_match,El Dulce Nombre / Paso de Palio / 1985 ; El Dulce Nombre / Paso de Palio / 1986 ; El Dulce Nombre / Paso de Palio / 1987
BM Guadalrosal de Los Rosales,4,sin_match,El Carmen / Paso de Palio / 2009 ; El Carmen / Paso de Palio / 2010 ; El Carmen / Paso de Palio / 2011
BM Julian Cerdan de Sanlucar de Barrameda,4,sin_match,Cristo de Burgos / Paso de Palio / 2001 ; Cristo de Burgos / Paso de Palio / 2002 ; Cristo de Burgos / Paso de Palio / 2003
AM La O,4,sin_match,La O / Paso de Cristo / 1980 ; La O / Paso de Cristo / 1981 ; La O / Paso de Cristo / 1982
B. Ntra. Sra. de la Hiniesta (Cruz Roja),4,sin_match,La Hiniesta / Paso de Virgen / 1980 ; La Hiniesta / Paso de Virgen / 1981 ; La Hiniesta / Paso de Virgen / 1982
CCTT Jesús Cautivo y Santiago Apóstol (Sanlúcar/Aznalcázar),4,doblete_dos_bandas,Santa Genoveva / Paso Cristo (Cautivo) / 2007 ; Santa Genoveva / Paso Cristo (Cautivo) / 2008 ; Santa Genoveva / Paso Cristo (Cautivo) / 2009
BM Cuartel General Región Sur (Soria 9),4,sin_match,Los Estudiantes / Paso de Palio / 1997 ; Los Estudiantes / Paso de Palio / 1998 ; Los Estudiantes / Paso de Palio / 1999
B. Veracruz (Los Palacios),3,sin_match,Padre Pio / Paso de Cristo / 2002 ; Padre Pio / Paso de Cristo / 2003 ; Padre Pio / Paso de Cristo / 2004
Banda de la Academia Municipal de Carmona,3,sin_match,La Amargura / Paso de Palio / 1985 ; La Amargura / Paso de Palio / 1986 ; La Amargura / Paso de Palio / 1987
AM San Benito,3,sin_match,San Benito / Paso de Misterio / 1982 ; San Benito / Paso de Misterio / 1983 ; San Benito / Paso de Misterio / 1984
BM Alvarez Quintero de Utrera,3,sin_match,La Lanzada / Paso de Palio / 1985 ; La Lanzada / Paso de Palio / 1986 ; La Lanzada / Paso de Palio / 1987
AM Lagrimas de San Fernando,3,sin_match,Padre Pio / Paso de Cristo / 2024 ; Padre Pio / Paso de Cristo / 2025 ; Padre Pio / Paso de Cristo / 2026
