ANIO,PAG,HERMANDAD,TITULAR_FUENTE,BANDA
2023,22,VÍA CRUCIS,,Tambores roncos
2023,22,ÁNIMAS,,Coro de Hermanos entonando el “Miserere” tras el Cristo mientras que las Hermanas cantan el “Stabat Mater” tras la Virgen. Hermano mayor: José Ignacio Aguilera Castelló
2023,24,LA AGONÍA,,"Banda de cornetas y tambores Nuestra Señora de la Salud, en el misterio"
2023,26,COFRADÍA UNIVERSITARIA,,No lleva acompañamiento musical
2023,26,LA SANGRE,,"Banda de cornetas y tambores Ntro. Padre Jesús Cautivo (Málaga), en el misterio"
2023,28,EL BUEN SUCESO,,"Banda de cornetas y tambores Monte Calvario (Martos), en el misterio"
2023,28,LA SANTA FAZ,,"Agrupación musical Nuestro Padre Jesús de la Pasión (Linares), en el misterio"
2023,30,EL PRENDIMIENTO,,"Agrupación musical Santísimo Cristo de Gracia, en el misterio"
2023,32,EL PERDÓN,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor. Banda de música Tubamirum (Cañete de las Torres), en la Virgen. Hermano mayor: Jesús Campos Villalón"
2023,34,EL CALVARIO,,"Banda de cornetas y tambores Nuestro Padre Jesús Nazareno (El Arahal), en el misterio"
2023,34,LA PAZ,,"Banda de cornetas y tambores Nuestra Señora de la Salud, en el misterio"
2023,35,LA MISERICORDIA,,"Banda de cornetas y tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta, en el Crucificado. Banda de música María Santísima de la Esperanza, en la Virgen. Hermano mayor: José Manuel Maqueda Estepa"
2023,35,LA PASIÓN,,"Agrupación musical Santo Tomás de Villanueva (Ciudad Real), en el Señor. Banda Municipal de"
2023,36,LA PIEDAD DE LAS PALMERAS,,Agrupación musical Santísimo Cristo de la Bondad de Alcalá de Guadaíra. Hermana mayor: Pilar Torrecillas Báez
2023,39,EL NAZARENO,,No lleva acompañamiento musical
2023,40,LA CARIDAD,,Banda de Cornetas y Tambores Coronación de Espinas. El Viernes Santo el tercio Gran Capitán 1º de la Legión acompañará al Señor de la Caridad en el Vía Crucis que la cofradía realiza por las calles de la ciudad (Salida a las 11:00 de la iglesia de San Francisco). Hermano mayor: Carlos Pérez Fernández
2023,40,EL CAÍDO,,"Banda de cornetas y tambores Caído y Fuensanta, en el Señor. Banda de música de María Santísima de la Esperanza, en la Virgen. Hermano mayor: Juan Rafael Cabezas Gutiérrez"
2023,42,LA SAGRADA CENA,,"Agrupación musical Nuestro Padre Jesús de la Fe en su Sagrada Cena, en el misterio"
2023,42,LAS ANGUSTIAS,,Banda de música de El Saucejo (Sevilla). Hermano mayor: Antonio Carlos Susín Cabello
2023,44,CRISTO DE GRACIA,,Agrupación Musical Santísimo Cristo de Gracia. Hermano mayor: José María Gisbert León
2023,47,LA BUENA MUERTE,,No lleva acompañamiento musical
2023,48,LA SOLEDAD,,Banda de Música La Estrella. Hermano mayor: Enrique Ruiz Flores
2023,48,LA EXPIRACIÓN,,"Capilla musical “Ars Sacra” de Écija en el Cristo. Agrupación Musical Ecijana AMUECI, en la Virgen. Hermano mayor: Rafael Infantes Diéguez"
2023,50,EL DESCENDIMIENTO,,"Banda de Cornetas y tambores Caído y Fuensanta, en el misterio"
2023,51,LA CONVERSIÓN,,Agrupación Musical Nuestro Padre Jesús de la Redención. Hermano mayor: Rafael Dorado Gutiérrez
2023,51,LOS DOLORES,,"Banda de cornetas y tambores de la Coronación de Espinas, en el Cristo. Banda Municipal de"
2023,52,EL SANTO SEPULCRO,,"Grupo de capilla SIBI, en el Cristo. Música coral polifónica de los siglos XVIXVII, interpretada por el Coro Cantabile, en la Virgen. Hermano mayor: Alfonso Orti Baquerizo"
2023,54,EL RESUCITADO,,"Agrupación musical Santísimo Cristo de Gracia, en el misterio"
