ANIO,DIA,HERMANDAD,TITULAR,BANDA
2022,MIERCOLES SANTO,SANT A MART A,CRISTO DE LA CARIDAD,BCT Stmo. Cristo de la Caridad (Jerez)
2022,MIERCOLES SANTO,LAS TRES CAIDAS,?,Coro de capilla ‘San Pedro Nolasco’
2022,MIERCOLES SANTO,LAS TRES CAIDAS,MARÍA SANTÍSIMA DE LOS DOLORES,Banda Municipal de Gerena (Sevilla)
2022,MIERCOLES SANTO,LAS TRES CAIDAS,SEÑOR DE LAS TRES CAÍDAS,Escolanía de niños cantores de la hermandad
2022,MIERCOLES SANTO,LA FLAGELACION,MARÍA SANTÍSIMA DE LA AMARGURA,Banda de Música ‘Julián Cerdán’ de Sanlúcar de Barrameda (Cádiz)
2022,MIERCOLES SANTO,LA FLAGELACION,SEÑOR DE LA SAGRADA FLAGELACIÓN,BCT Vera-Cruz (Utrera)
2022,MIERCOLES SANTO,EL PRENDIMIENTO,MARÍA SANTÍSIMA DEL DESAMPARO,Banda de Música de Nuestro Padre Jesús Nazareno de Rota (Cádiz)
2022,MIERCOLES SANTO,EL PRENDIMIENTO,JESÚS DEL PRENDIMIENTO,AM San Juan (Jerez)
2022,MIERCOLES SANTO,EL PRENDIMIENTO,SANTA MARÍA DE LAS LÁGRIMAS,Unión Musical Astigitana de Écija (Sevilla)
2022,MIERCOLES SANTO,EL PRENDIMIENTO,SANTO LIGNUM CRUCIS,Capilla Musical ‘Vía Sacra’
2022,MIERCOLES SANTO,EL PRENDIMIENTO,CRISTO DE LA ESPERANZA,Capilla Musical ‘Sonos Angelis’
2022,MIERCOLES SANTO,LA REDENCION,JESÚS DE LA REDENCIÓN,BCT Stmo. Cristo de la Caridad (Jerez)
2022,MIERCOLES SANTO,LA ORACION EN EL HUERTO,?,Banda de Música de ‘Pedro Álvarez Hidalgo’ de Puerto Real (Cádiz)
2022,MIERCOLES SANTO,LA ORACION EN EL HUERTO,JESÚS ORANDO EN EL HUERTO,Agrupación Musical ‘La Sentencia’ de Jerez
2022,MIERCOLES SANTO,LA LANZADA,SAGRADA LANZADA DE NUESTRO SEÑOR JESUCRISTO,"BM Ntra. Sra. del Carmen (Prado del Rey, Cádiz)"
2022,MIERCOLES SANTO,HUMILDAD Y P ACIENCIA,HUMILDAD Y PACIENCIA,Capilla Musical ‘Calvarium’ (Sevilla)
2022,MIERCOLES SANTO,EL MA YOR DOLOR,?,AM Expiración (Salamanca)
2022,MIERCOLES SANTO,EL MA YOR DOLOR,NUESTRA SEÑORA DEL MAYOR DOLOR,AF ‘Nuestra Señora de Palomares’ de Trebujena (Cádiz)
2022,MADRUGADA,NUESTRA MADRE Y SENORA DEL TRASPASO,?,Banda de música ‘Virgen del Carmen’ de Prado del Rey (Cádiz)
2022,MADRUGADA,NUESTRA MADRE Y SENORA DEL TRASPASO,CRUZ DE GUÍA,AM Cristo del Calvario’ de Ubrique (Cádiz)
2022,MADRUGADA,LA BUENA MUERTE,NUESTRA SEÑORA DE LA ESPERANZA,"Banda de música ‘Fernando Guerrero’ de Los Palacios y Villafranca (Sevilla), hasta la calle Arcos, y Banda de música ‘Santa Ana’ de Dos Hermanas (Sevilla)"
2022,MADRUGADA,LA BUENA MUERTE,JESÚS DE LA SENTENCIA,Agrupación Musical ‘Nuestra Señora de la Estrella’ de Dos Hermanas (Sevilla)
2022,MADRUGADA,LA BUENA MUERTE,?,"Banda de Cornetas y Tambores Ntra. Sra. de la Asunción (Jódar, Jaén)"
2022,MADRUGADA,LA MISION,?,"UM Astigitana (Écija, Sevilla)"
2022,MADRUGADA,EL LORETO LAS VINAS,?,Coro de Capilla ‘San Pedro Nolasco’
2022,MADRUGADA,EL LORETO LAS VINAS,?,"BM ‘Ciudad de Dos Hermanas’ (Dos Hermanas, Sevilla)"
2022,MADRUGADA,EL LORETO LAS VINAS,CRISTO DE LA EXALTACIÓN,AM ‘La Sentencia’ (Jerez)
2022,MADRUGADA,EL CRISTO,?,"BM ‘Ntra Sra de Palomares’ (Trebujena, Cádiz)"
2022,MADRUGADA,CRISTO DE LA EXPIRACION,?,AM ‘San Juan’ (Jerez)
2022,MADRUGADA,LA SOLEDAD,?,"BM ‘Maestro Dueñas’ (El Puerto de Santa María, Cádiz)"
2022,MADRUGADA,LA SOLEDAD,SAGRADO DESCENDIMIENTO,BCT ‘Stmo Cristo de la Caridad’ (Jerez)
2022,RESURRECCION,PIEDAD LORETO LAS VINAS EL CRISTO SOLEDAD,EL RESUCITADO,Agrupación Musical ‘San Juan’ de Jerez
2022,RESURRECCION,PIEDAD LORETO LAS VINAS EL CRISTO SOLEDAD,NUESTRA SEÑORA DE LA LUZ,Banda de música ‘Nuestro Padre Jesús Nazareno’ de Rota (Cádiz)
