ANIO,PAG,HERMANDAD,TITULAR_FUENTE,TITULAR,BANDA
2023,23,LOS DOLORES,MARÍA SANTISIMA DE LA CONCEPCIÓN,Paso de Virgen,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2023,23,ORACIÓN EN EL HUERTO,NUESTRO SEÑOR JESUCRISTO EN EL HUERTO,Paso de Misterio,Banda de Cornetas y Tambores Nuestra Señora del Sol (Sevilla)
2023,24,BUENA MUERTE,NUESTRA MADRE DE LA CONSOLACIÓN,Paso de Virgen,Banda Municipal de Villalba del Alcor
2023,24,BUENA MUERTE,NUESTRA MADRE DE LA CONSOLACIÓN,Paso de Virgen,Banda de Corneta y Tambores Cristo de la Expiración “Salud y Esperanza”
2023,24,JUDÍOS,NUESTRO PADRE JESÚS DE LAS CADENAS,Paso de Misterio,Banda de Cornetas y Tambores del Santísimo Cristo de la Victoria (León)
2023,24,LOS DOLORES,SANTÍSIMO CRISTO DE JERUSALÉN Y BUEN,Paso de Misterio,Agrupación Musical de la Santa Cruz
2023,24,LOS DOLORES,SANTÍSIMO CRISTO DE JERUSALÉN Y BUEN,Paso de Misterio,Banda de Música Nuestra Señora del Rosario de El Cuervo (Sevilla)
2023,26,NAZARENO,VIERNES SANTO (MADRUGÁ) 7 DE ABRIL,Paso de Misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno
2023,26,NAZARENO,MARÍA SANTÍSIMA DE LA AMARGURA,Paso de Virgen,Banda Nuestra Señora de las Mercedes de Bollulos del Condado
2023,28,DESCENDIMIENTO,MARÍA SANTÍSIMA EN LA RESIGNACIÓN DE SUS DOLORES,Paso de Virgen,Banda del Liceo Municipal de la Música de Moguer
2023,28,DESCENDIMIENTO,MARÍA SANTÍSIMA EN LA RESIGNACIÓN DE SUS DOLORES,Paso de Virgen,Banda de Cornetas y Tambores Santísimo Cristo de la Expiración “Salud y Esperanza”
2023,28,FE,MARÍA SANTÍSIMA EN LA RESIGNACIÓN DE SUS DOLORES,Paso de Virgen,Agrupación Musical del Santísimo Cristo del Amor
2023,28,FE,NUESTRA SEÑORA DE LA CARIDAD,Paso de Virgen,Banda de Música Municipal de Villalba del Alcor
2023,30,SOLEDAD,VIERNES SANTO 7 DE ABRIL,Paso de Misterio,"Banda Municipal de Huelva, que acompaña de oficio"
2023,30,SANTO ENTIERRO,CRISTO YACENTE,Paso de Misterio,no lleva
2023,30,SANTO ENTIERRO,NUESTRA SEÑORA DE LAS ANGUSTIAS,Paso de Virgen,Banda de Música Juvenil de la Cruz Roja de Sevilla
2023,30,SOLEDAD,NUESTRA SEÑORA DE LAS ANGUSTIAS,Paso de Virgen,no lleva
