HERMANDAD_SLUG,HERMANDAD_NOMBRE,PASO_NOMBRE,BANDA_RAW_TEXT,BANDA_ID_CANDIDATA,BANDA_NOMBRE_CANDIDATA,BANDA_LOCALIDAD_CANDIDATA,MOTIVO_MATCH,CONFIANZA,NOTA
la-paz-de-fatima,"La Paz de Fátima","La Paz de Fátima","Agrupación Musical La Sentencia (Jerez de la Frontera)",28,"Agrupación Musical La Sentencia","Jerez de la Frontera",localidad_explicita,alta,
la-candelaria,"La Candelaria","La Candelaria","Agrupación Musical Lágrimas de Dolores (San Fernando)",69,"Agrupación Musical Virgen De Las Lágrimas","San Fernando",unico,alta,
sagrada-cena,"Sagrada Cena","Sagrada Cena","Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas)",57,"Agrupación Musical Nuestra Señora De La Estrella","Dos Hermanas",localidad_explicita,alta,
bondad-y-misericordia,"Bondad y Misericordia","Bondad y Misericordia","Agrupación Musical San Juan (Jerez de la Frontera)",33,"Agrupación Musical San Juan","Jerez de la Frontera",localidad_explicita,alta,
la-clemencia,"La Clemencia","La Clemencia","Agrupación Musical Santísimo Cristo de la Clemencia (Jerez de la Frontera)",271,"Agrupación Musical Santísimo Cristo de la Clemencia","Jerez de la Frontera",unico,alta,
salud-de-san-rafael,"Salud de San Rafael","Salud de San Rafael","Agrupación Musical La Sentencia (Jerez de la Frontera)",28,"Agrupación Musical La Sentencia","Jerez de la Frontera",localidad_explicita,alta,
la-defension,"La Defensión","La Defensión","Banda de Cornetas y Tambores Nuestro Padre Jesús en la Presentación al Pueblo (Dos Hermanas)",23,"Banda De Cornetas Y Tambores Nuestro Padre Jesús En La Presentación Al Pueblo","Dos Hermanas",localidad_explicita,alta,
la-salvacion,"La Salvación","La Salvación","Agrupación Musical Polillas (Cádiz)",25,"Agrupación Musical Polillas",Cádiz,unico,alta,
el-amor,"El Amor","El Amor","Agrupación Musical Nuestra Señora de Valme (Dos Hermanas)",85,"Agrupación Musical Nuestra Señora De Valme","Dos Hermanas",unico,alta,
judios-de-san-mateo,"Judíos de San Mateo","Judíos de San Mateo","Agrupación Musical Nuestro Padre Jesús de la Redención (Sevilla)",11,"Agrupación Musical Nuestro Padre Jesús De La Redención",Sevilla,localidad_explicita,alta,
soberano-poder,"Soberano Poder","Soberano Poder","Agrupación Musical La Sentencia (Jerez de la Frontera)",28,"Agrupación Musical La Sentencia","Jerez de la Frontera",localidad_explicita,alta,
el-consuelo,"El Consuelo","El Consuelo","Agrupación Musical Sagrada Resurrección (Sanlúcar de Barrameda)",146,"Agrupación Musical Sagrada Resurrección","Sanlúcar de Barrameda",localidad_explicita,alta,
las-tres-caidas,"Las Tres Caídas","Las Tres Caídas","Banda de Cornetas y Tambores Nuestro Padre Jesús de las Tres Caídas (Arcos de la Frontera)",205,"Banda De Cornetas Y Tambores Nuestro Padre Jesús De Las Tres Caídas","Arcos de la Frontera",localidad_explicita,alta,"mundocofrade menciona además una Escolanía/Coral acompañando; fuera de alcance (no es CCTT/AM)"
la-flagelacion,"La Flagelación","La Flagelación","Banda de Cornetas y Tambores Caridad (Jerez de la Frontera)",18,"Banda De Cornetas Y Tambores Santísimo Cristo De La Caridad (Santa Marta)","Jerez de la Frontera",localidad_explicita,alta,
prendimiento,Prendimiento,Prendimiento,"Agrupación Musical Nuestro Padre Jesús de la Salud Los Gitanos (Sevilla)",26,"Agrupación Musical Nuestro Padre Jesús De La Salud (Los Gitanos)",Sevilla,unico,alta,
vera-cruz,Vera-Cruz,Vera-Cruz,"Banda de Cornetas y Tambores Nazareno (Utrera)",,,,ambiguo_13,baja,
la-redencion,"La Redención","La Redención","Banda de Cornetas y Tambores Santísimo Cristo de la Elevación (Campo de Criptana)",125,"Banda De Cornetas Y Tambores Santísimo Cristo De La Elevación","Campo de Criptana",unico,alta,
oracion-en-el-huerto,"Oración en el Huerto","Oración en el Huerto","Banda de Cornetas y Tambores Coronación de Campillos (Málaga)",178,"Banda de Cornetas y Tambores Coronación",Campillos,unico,alta,
la-lanzada,"La Lanzada","La Lanzada","Banda de Cornetas y Tambores Esencia (Sevilla)",113,"Banda De Cornetas Y Tambores Esencia",Sevilla,unico,alta,
mayor-dolor,"Mayor Dolor","Mayor Dolor","Banda de Cornetas y Tambores Caridad (Jerez de la Frontera)",18,"Banda De Cornetas Y Tambores Santísimo Cristo De La Caridad (Santa Marta)","Jerez de la Frontera",localidad_explicita,alta,
nazareno,Nazareno,Nazareno,"Agrupación Musical Sagrada Resurrección (Chiclana de la Frontera)",,,,ambiguo_2,baja,"conflicto resuelto a favor de mundocofrade: musicofrades tenía BCT Gran Poder de Coria del Río"
la-yedra,"La Yedra","La Yedra","Agrupación Musical La Sentencia (Jerez de la Frontera)",28,"Agrupación Musical La Sentencia","Jerez de la Frontera",localidad_explicita,alta,
mision,Misión,Misión,"Banda de Cornetas y Tambores Jesús Despojado (San Fernando)",,,,ambiguo_2,baja,"mundocofrade da dos bandas para este paso, ver siguiente fila"
mision,Misión,Misión,"Banda de Cornetas y Tambores Nuestra Señora de Gracia (Carmona)",120,"Banda De Cornetas Y Tambores Nuestra Señora De Gracia",Carmona,localidad_explicita,alta,"segunda banda del mismo paso"
