LOCALIDAD,DIA,DIA_ORDEN,ORDEN_PAGINA,HERMANDAD,ETIQUETA_RAW,TIPO_NORMALIZADO,BANDA_TEXTO,BANDA_URL,ES_CCTT_AM
Sevilla,Sábado de Pasión,2,3,Divino Perdón de Alcosa,Cruz de Guía,cruz_guia,Agrupación Musical Pasión y Resurrección de Sevilla,https://musicofrades.com/directorio/1835-agrupacion-musical-pasion-y-resurreccion-de-sevilla/,True
Sevilla,Sábado de Pasión,2,3,Divino Perdón de Alcosa,Paso de Misterio,cristo,Agrupación Musical Nuestra Señora de la Encarnación – San Benito – de Sevilla,https://musicofrades.com/directorio/645-agrupacion-musical-nuestra-senora-de-la-encarnacion-san-benito-de-sevilla/,True
Sevilla,Sábado de Pasión,2,3,Divino Perdón de Alcosa,Paso de Palio,virgen,Banda de Música Santa Ana de Dos Hermanas,https://musicofrades.com/directorio/386-banda-de-musica-santa-ana-de-dos-hermanas/,False
Sevilla,Sábado de Pasión,2,4,San José Obrero,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima de las Angustias Coronada de Sevilla,https://musicofrades.com/directorio/1007-agrupacion-musical-juvenil-maria-santisima-de-las-angustias-coronada-de-sevilla/,True
Sevilla,Sábado de Pasión,2,4,San José Obrero,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús de la Salud – Los Gitanos – de Sevilla,https://musicofrades.com/directorio/831-agrupacion-musical-nuestro-padre-jesus-de-la-salud-los-gitanos-de-sevilla/,True
Sevilla,Sábado de Pasión,2,4,San José Obrero,Paso de Palio,virgen,Banda de Música Municipal de Coria del Río,https://musicofrades.com/directorio/566-banda-de-musica-municipal-de-coria-del-rio/,False
Sevilla,Sábado de Pasión,2,5,Padre Pío,Paso de Misterio,cristo,Agrupación Musical Lágrimas de Dolores de San Fernando,https://musicofrades.com/directorio/735-agrupacion-musical-lagrimas-de-dolores-de-san-fernando/,True
Sevilla,Sábado de Pasión,2,5,Padre Pío,Paso de Palio,virgen,Banda de Música Virgen de las Angustias de Sanlúcar la Mayor,https://musicofrades.com/directorio/857-banda-de-musica-virgen-de-las-angustias-de-sanlucar-la-mayor/,False
Sevilla,Sábado de Pasión,2,6,San Jerónimo,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús Nazareno de La Algaba,https://musicofrades.com/directorio/354-agrupacion-musical-nuestro-padre-jesus-nazareno-de-la-algaba/,True
Sevilla,Sábado de Pasión,2,6,San Jerónimo,Paso de Palio,virgen,Banda de Música Municipal de Bollullos Par del Condado,https://musicofrades.com/directorio/120-banda-de-musica-municipal-de-bollullos-par-del-condado/,False
Sevilla,Sábado de Pasión,2,7,El Santo Ángel,Paso de Cristo,cristo,Banda de Música Municipal de La Puebla del Río,https://musicofrades.com/directorio/728-banda-de-musica-municipal-de-la-puebla-del-rio/,False
Sevilla,Sábado de Pasión,2,8,Las Maravillas,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora del Sol de Sevilla,https://musicofrades.com/directorio/334-banda-de-cornetas-y-tambores-nuestra-senora-del-sol-de-sevilla/,True
Sevilla,Sábado de Pasión,2,9,La Espiga,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima del Rocío de Sevilla,https://musicofrades.com/directorio/1386-agrupacion-musical-juvenil-maria-santisima-del-rocio-de-sevilla/,True
Sevilla,Sábado de Pasión,2,9,La Espiga,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla,https://musicofrades.com/directorio/353-agrupacion-musical-nuestro-padre-jesus-de-la-redencion-de-sevilla/,True
Sevilla,Domingo de Ramos,3,1,La Borriquita,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Sagrada Columna y Azotes de Sevilla,https://musicofrades.com/directorio/709-banda-de-cornetas-y-tambores-sagrada-columna-y-azotes-de-sevilla/,True
Sevilla,Domingo de Ramos,3,1,La Borriquita,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora del Sol de Sevilla,https://musicofrades.com/directorio/334-banda-de-cornetas-y-tambores-nuestra-senora-del-sol-de-sevilla/,True
Sevilla,Domingo de Ramos,3,2,Jesús Despojado,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil Virgen de los Reyes de Sevilla,https://musicofrades.com/directorio/1356-agrupacion-musical-juvenil-virgen-de-los-reyes-de-sevilla/,True
Sevilla,Domingo de Ramos,3,2,Jesús Despojado,Paso de Misterio,cristo,Agrupación Musical Virgen de los Reyes de Sevilla,https://musicofrades.com/directorio/702-agrupacion-musical-virgen-de-los-reyes-de-sevilla/,True
Sevilla,Domingo de Ramos,3,2,Jesús Despojado,Paso de Palio,virgen,Banda de Música Sinfónica del Liceo Municipal de la Música de Moguer,https://musicofrades.com/directorio/1096-banda-de-musica-sinfonica-del-liceo-municipal-de-la-musica-de-moguer/,False
Sevilla,Domingo de Ramos,3,3,La Hiniesta,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil Santa María Magdalena de Arahal,https://musicofrades.com/directorio/1431-agrupacion-musical-juvenil-santa-maria-magdalena-de-arahal/,True
Sevilla,Domingo de Ramos,3,3,La Hiniesta,Paso de Misterio,cristo,Agrupación Musical Santa María Magdalena de Arahal,https://musicofrades.com/directorio/284-agrupacion-musical-santa-maria-magdalena-de-arahal/,True
Sevilla,Domingo de Ramos,3,3,La Hiniesta,Paso de Palio,virgen,Banda de Música Municipal de Mairena del Alcor,https://musicofrades.com/directorio/215-banda-de-musica-municipal-de-mairena-del-alcor/,False
Sevilla,Domingo de Ramos,3,4,La Paz,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Juvenil de la Centuria Romana Macarena de Sevilla,https://musicofrades.com/directorio/705-banda-de-cornetas-y-tambores-juvenil-de-la-centuria-romana-macarena-de-sevilla/,True
Sevilla,Domingo de Ramos,3,4,La Paz,Paso de Misterio,cristo,Agrupación Musical Nuestra Señora de la Encarnación – San Benito – de Sevilla,https://musicofrades.com/directorio/645-agrupacion-musical-nuestra-senora-de-la-encarnacion-san-benito-de-sevilla/,True
Sevilla,Domingo de Ramos,3,4,La Paz,Paso de Palio,virgen,Banda de Música Municipal de La Puebla del Río,https://musicofrades.com/directorio/728-banda-de-musica-municipal-de-la-puebla-del-rio/,False
Sevilla,Domingo de Ramos,3,5,La Cena,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora de la Victoria – Las Cigarreras – de Sevilla,https://musicofrades.com/directorio/372-banda-de-cornetas-y-tambores-nuestra-senora-de-la-victoria-las-cigarreras-de-sevilla/,True
Sevilla,Domingo de Ramos,3,5,La Cena,Paso de Cristo,cristo,Capilla Musical y Escolanía,,False
Sevilla,Domingo de Ramos,3,5,La Cena,Paso de Palio,virgen,Banda de Música del Maestro Tejera de Sevilla,https://musicofrades.com/directorio/183-banda-de-musica-del-maestro-tejera-de-sevilla/,False
Sevilla,Domingo de Ramos,3,6,San Roque,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima de las Angustias Coronada de Sevilla,https://musicofrades.com/directorio/1007-agrupacion-musical-juvenil-maria-santisima-de-las-angustias-coronada-de-sevilla/,True
Sevilla,Domingo de Ramos,3,6,San Roque,Paso de Misterio,cristo,Banda de Cornetas y Tambores Jesús Nazareno de Huelva,https://musicofrades.com/directorio/578-banda-de-cornetas-y-tambores-jesus-nazareno-de-huelva/,True
Sevilla,Domingo de Ramos,3,6,San Roque,Paso de Palio,virgen,Banda de Música de la Cruz Roja de Sevilla,https://musicofrades.com/directorio/288-banda-de-musica-de-la-cruz-roja-de-sevilla/,False
Sevilla,Domingo de Ramos,3,7,La Amargura,Paso de Misterio,cristo,Banda de Cornetas y Tambores Santísimo Cristo de las Tres Caídas – Esperanza de Triana – de Sevilla,https://musicofrades.com/directorio/397-banda-de-cornetas-y-tambores-santisimo-cristo-de-las-tres-caidas-esperanza-de-triana-de-sevilla/,True
Sevilla,Domingo de Ramos,3,7,La Amargura,Paso de Palio,virgen,Banda de Música de la Sociedad Filarmónica Nuestra Señora del Carmen de Salteras,https://musicofrades.com/directorio/214-banda-de-musica-de-la-sociedad-filarmonica-nuestra-senora-del-carmen-de-salteras/,False
Sevilla,Domingo de Ramos,3,8,La Estrella,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Nuestro Padre Jesús en su Prendimiento de Dos Hermanas,https://musicofrades.com/directorio/1422-banda-de-cornetas-y-tambores-nuestro-padre-jesus-en-su-prendimiento-de-dos-hermanas/,True
Sevilla,Domingo de Ramos,3,8,La Estrella,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora del Rosario Coronada de Cádiz,https://musicofrades.com/directorio/898-banda-de-cornetas-y-tambores-nuestra-senora-del-rosario-coronada-de-cadiz/,True
Sevilla,Domingo de Ramos,3,8,La Estrella,Paso de Palio,virgen,Banda de Música de la Sociedad Filarmónica Nuestra Señora de la Oliva de Salteras,https://musicofrades.com/directorio/187-banda-de-musica-de-la-sociedad-filarmonica-nuestra-senora-de-la-oliva-de-salteras/,False
Sevilla,Domingo de Ramos,3,9,El Amor,Paso de Cristo,cristo,Silencio,,False
Sevilla,Domingo de Ramos,3,9,El Amor,Paso de Palio,virgen,Banda de Música María Santísima de la Victoria – Las Cigarreras – de Sevilla,https://musicofrades.com/directorio/818-banda-de-musica-maria-santisima-de-la-victoria-las-cigarreras-de-sevilla/,False
Sevilla,Lunes Santo,4,1,San Pablo,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil Santa María Magdalena de Arahal,https://musicofrades.com/directorio/1431-agrupacion-musical-juvenil-santa-maria-magdalena-de-arahal/,True
