ANIO,DIA,HERMANDAD,TITULAR,BANDA
2025,MARTES SANTO,EL DESCONSUELO,MARÍA STMA. DEL DESCONSUELO,B.M. Maestro Dueñas (El Puerto de Santa María)
2025,MIERCOLES SANTO,EL SOBERANO PODER,N. PADRE JESÚS DEL SOBERANO PODER,Agrupación Musical La Sentencia (Jerez)
2025,RESURRECCION,EL CONSUELO,SEÑOR DEL AMPARO,A.M. Sagrada Resurrección (Sanlúcar de Barrameda)
2025,RESURRECCION,EL CONSUELO,MARÍA STMA. DEL CONSUELO,B.M. Ntra. Sra. de Consolación (Huelva)
2025,MIERCOLES SANTO,LAS TRES CAÍDAS,NTRO. PADRE JESÚS DE LA SALUD,"Escolanía del Miserere, Trío de Capilla ‘Memoria Eterna’ y Coral Polifónica ‘Jesús de las Tres Caídas´"
2025,MIERCOLES SANTO,LAS TRES CAÍDAS,STMO. CRISTO DE LA SALUD,B.C.T. Ntro. Padre Jesús de las Tres Caídas (Arcos de la Frontera)
2025,MIERCOLES SANTO,LAS TRES CAÍDAS,MARÍA STMA. DE LOS DOLORES,B.M.M. de Gerena (Sevilla) Barrameda. Se completa con una peana de Ildefonso Oñate y José Ramón Orovio y cuatro portahachones
2025,MIERCOLES SANTO,LA AMARGURA,SEÑOR DE LA SAGRADA FLAGELACIÓN,B.C.T. Caridad (Jerez)
2025,MIERCOLES SANTO,LA AMARGURA,MARÍA SANTÍSIMA DE LA AMARGURA,B.S. Julián Cerdán (Sanlúcar de Barrameda)
2025,MIERCOLES SANTO,EL PRENDIMIENTO,NTRO. PADRE JESÚS DEL PRENDIMIENTO,A.M. Ntro. Padre Jesús de la Salud ‘Los Gitanos’ (Sevilla)
2025,MIERCOLES SANTO,EL PRENDIMIENTO,MARÍA STMA. DEL DESAMPARO,"B.M.M Maestro Enrique Galán (Rota) En el caso del paso de palio, sus elementos textiles están completamente bordados por Esperanza Elena Caro y la orfebrería es obra de Lorenzo, Jiménez y Rueda"
2025,JUEVES SANTO,LA VERA CRUZ,SANTO LIGNUM CRUCIS,Capilla Musical Vía Sacra (El Puerto)
2025,JUEVES SANTO,LA VERA CRUZ,CRISTO DE LA ESPERANZA,B.C.T. Nazareno (Utrera)
2025,JUEVES SANTO,LA VERA CRUZ,SANTA MARÍA DE LAS LÁGRIMAS,"B.M. Ntro. Padre Jesús Nazareno (Rota, Cádiz)"
2025,JUEVES SANTO,LA REDENCIÓN,JESÚS DE LA REDENCIÓN,"B.C.T. Stmo. Cristo de la Elevación (Campo de Criptana, Ciudad Real) El paso se estrenó en Carpintería en el año 2007, comenzó a tallarse en los talleres de Francisco Pineda y cuenta con cartelas de Encarnación Hurtado. Actualmente, se encuentra en proceso de dorado por parte de los Hermanos González"
2025,JUEVES SANTO,LA ORACIÓN EN EL HUERTO,NTR. PADRE JESÚS ORANDO EN EL HUERTO,B.C.T. Coronación de Campillos (Málaga)
2025,JUEVES SANTO,LA ORACIÓN EN EL HUERTO,MARÍA SANTÍSIMA DE LA CONFORTACIÓN,B.M. ‘Pedro Álvarez Hidalgo’ (Puerto Real)
2025,JUEVES SANTO,LA SAGRADA LANZADA,SAGRADA LANZADA,B.C.T. Esencia (Sevilla) Magdalena es de Francisco Pinto. Longinos y el caballo son de Rafael Barbero. El paso es obra de Manuel Guzmán Bejarano y fue dorado por Manuel Calvo Carmona. Juan Kiernan es el autor de los cuatro faroles de plata
2025,JUEVES SANTO,HUMILDAD Y PACIENCIA,STMO. CRISTO DE LA HUMILDAD Y PACIENCIA,Capilla Musical ‘Calvarium’ (Sevilla)
2025,JUEVES SANTO,EL MAYOR DOLOR,ECCE HOMO,B.C.T. Caridad (Jerez de la Frontera)
2025,JUEVES SANTO,NTRA. SRA. DEL MAYOR DOLOR,ECCE HOMO,A.F. Ntra. Sra. de Palomares (Trebujena)
2025,NOCHE DE JESUS,EL SANTO CRUCIFIJO,SANTO CRUCIFIJO DE LA SALUD,No lleva
2025,NOCHE DE JESUS,EL SANTO CRUCIFIJO,MARÍA SANTÍSIMA DE LA ENCARNACIÓN,No lleva
2025,NOCHE DE JESUS,EL SANTO CRUCIFIJO,NTR. PADRE JESÚS DE LA VÍA-CRUCIS,No lleva
2025,NOCHE DE JESUS,EL SANTO CRUCIFIJO,MARÍA SANTÍSIMA DE LA ESPERANZA,"No lleva Con respecto al paso de palio, toda la orfebrería del mismo llegó desde el taller de Seco Velasco y los bordados son de José Guillermo Carrasquilla"
2025,NOCHE DE JESUS,LAS CINCO LLAGAS,STMO. CRISTO DE LA BUENA MUERTE,No lleva
2025,NOCHE DE JESUS,LAS CINCO LLAGAS,MARÍA SANTÍSIMA DEL DULCE NOMBRE,No lleva El paso de palio posee orfebrería en metal plateado realizada en Sevilla por el taller de Villarreal. Los respiraderos son de 1967 y los varales se estrenaron en 1992. Las andas presentan dos grandes faroles de cola en vez de candelabros y una crestería ejecutada por Antonio García Falla
2025,NOCHE DE JESUS,EL NAZARENO,CRUZ DE GUÍA,B.C.T. Jesús del Gran Poder (Coria del Río)
2025,NOCHE DE JESUS,NTRO. PADRE JESÚS NAZARENO,CRUZ DE GUÍA,No lleva
2025,NOCHE DE JESUS,SAN JUAN,CRUZ DE GUÍA,No lleva
2025,NOCHE DE JESUS,NTRA. MADRE Y SEÑORA DEL TRASPASO,CRUZ DE GUÍA,"A.C.M. San José Artesano (San Fernando) manto, cuyos bordados, pertenecientes a la escuela valenciana de finales del siglo XIX, fueron trasladados a terciopelo morado y utilizados en una pieza de mayor envergadura"
2025,NOCHE DE JESUS,LA YEDRA,NTRO. PADRE JESÚS DE LA SENTENCIA Y HUMILDAD,A.M. La Sentencia (Jerez de la Frontera)
2025,NOCHE DE JESUS,LA YEDRA,NTRA. SRA. DE LA ESPERANZA,B.M. Fernando Guerrero (Los Palacios y Villafranca) y B.M. Santa Ana (Dos Hermanas)
2025,VIERNES SANTO,LA MISIÓN,NUESTRO PADRE JESÚS DE LA MISIÓN REDENTORA,"B.C.T. Redención (Benalmádena, Málaga)"
2025,VIERNES SANTO,11:40 ENTRADA U.P.,NUESTRA SEÑORA DE LORETO,C.C. San Pedro Nolasco (Jerez) fue estrenado en 2022 y aún no ha concluido su hechura
2025,VIERNES SANTO,LA EXALTACIÓN,LORETO STMO.CRISTO DE LA EXALTACIÓN,A.M. Ntra. Sra. de los Reyes (Sevilla)
2025,VIERNES SANTO,LA EXALTACIÓN,MARÍA SANTÍSIMA DE LA CONCEPCIÓN,"B.M. Municipal de Bollullos (Huelva) El paso de palio cuenta con orfebrería de Villarreal, Lorenzo Jiménez Rueda y Olioz Arte. En el apartado textil, destacan los bordados de José Guillermo Carrasquilla en las bambalinas y el manto"
2025,VIERNES SANTO,CRISTO DE LA EXPIRACIÓN,MARÍA SANTÍSIMA DE LA CONCEPCIÓN,AM ‘San Juan’ (Jerez)
2025,VIERNES SANTO,SAN JUAN,MARÍA SANTÍSIMA DE LA CONCEPCIÓN,No lleva
2025,VIERNES SANTO,SAN JUAN,MARÍA STMA. DEL VALLE,B.M. Ntra. Sra. de Palomares (Trebujena)
2025,VIERNES SANTO,LA SOLEDAD,SAGRADO DESCENDIMIENTO,B.C.T. Caridad (Jerez)
2025,VIERNES SANTO,LA SOLEDAD,NUESTRA MADRE Y SEÑORA DE LA SOLEDAD,"B.M. Maestro Dueñas (El Puerto de Santa María) En cuanto al paso de palio, los bordados del techo y el manto son obra de Esperanza Elena Caro. Las caídas actuales fueron realizadas por Charo Bernardino a imagen de las anteriores, bordadas por las Carmelitas de la Caridad. Estas también hicieron los respiraderos y los faldones"
2025,SABADO SANTO,LA SACRAMENTAL DE SANTIAGO,STMO. CRISTO DE LAS ALMAS,B.C.T. Fundación Zoilo Ruiz Mateos (Rota)
2025,SABADO SANTO,LA SAGRADA MORTAJA,SAGRADA MORTAJA,S.F. de Albaida del Aljarafe (Sevilla) y C.V.B. ‘A Sei Voci’ (Los Palacios y Villafranca) Venegas Reinaldo. La carpintería corrió a cargo de Francisco Bailac González
2025,RESURRECCION,LA SAGRADA MORTAJA,SANTO ENTIERRO,A.M. Maestro Agripino Lozano (San Fernando)
2025,RESURRECCION,LA SAGRADA MORTAJA,NTRA. SRA. DE LA PIEDAD,"B.M. de Ntro. Padre Jesús Nazareno (Rota) El paso de palio escenifica a la Santísima Virgen en Sacra Conversación con San Juan y Santa María Magdalena; Santa María Cleofás y Santa María Salomé preparan la Sagrada Mortaja de Cristo. La orfebrería del paso de palio es de los Talleres de Seco, Juan Landa y de Lorenzo, Jiménez y Rueda. Las Hermanas Antúnez realizaron los bordados del palio, que pertenecieron a la Hermandad de la O de Sevilla. Los cubrefaldones, antiguas bambalinas de estas andas, fueron realizados por el taller de bordado de Justo Brillo"
2025,RESURRECCION,SANTA MARTA,STMO. CRISTO DE LA CARIDAD,B.C.T. Nuestra Señora del Rosario (Cádiz)
2025,RESURRECCION,SANTA MARTA,MADRE DE DIOS DEL PATROCINIO,"B.M. Ntra. Sra. del Rosario de El Cuervo (Sevilla) villa, es obra de José Gallego y el dorado corrió a cargo de Herrera y Feria. Con respecto al paso de palio, las bambalinas, inacabadas, son obra de Fernando Cachero. El techo de palio fue bordado en el taller de Fernández y Enríquez, donde se comenzó a bordar el manto de salida, que aún permanece inconcluso"
2025,RESURRECCION,SANTA MARTA,SAGRADA RESURRECCIÓN,A.M.‘San Juan de Jerez
